DATE,DGS10,DGS2,ratio,ratio average,sinal
2018-04-09,2.78,2.29,0.8237410071942447,0.5744542890416215,1
2018-04-10,2.8,2.32,0.8285714285714285,0.5753021833438511,1
2018-04-11,2.79,2.32,0.8315412186379928,0.5761384501386689,1
2018-04-12,2.83,2.34,0.8268551236749115,0.5769447027589,1
2018-04-13,2.82,2.37,0.8404255319148937,0.5777699982671745,1
2018-04-16,2.83,2.39,0.8445229681978799,0.578618135112661,1
2018-04-17,2.82,2.41,0.8546099290780143,0.5794846583416036,1
2018-04-18,2.87,2.42,0.8432055749128919,0.5803107342958986,1
2018-04-19,2.92,2.44,0.8356164383561644,0.5811171023077462,1
2018-04-20,2.96,2.46,0.831081081081081,0.5819069240443764,1
2018-04-23,2.98,2.49,0.8355704697986578,0.5826891760950847,1
2018-04-24,3.0,2.48,0.8266666666666667,0.5834524570723971,1
2018-04-25,3.03,2.49,0.821782178217822,0.5842094234906884,1
2018-04-26,3.0,2.49,0.8300000000000001,0.5849817229559292,1
2018-04-27,2.96,2.49,0.8412162162162163,0.585816329301405,1
2018-04-30,2.95,2.49,0.8440677966101695,0.5866629348399804,1
2018-05-01,2.97,2.5,0.8417508417508417,0.587495372693695,1
2018-05-02,2.97,2.49,0.8383838383838385,0.5883434110886947,1
2018-05-03,2.94,2.49,0.8469387755102041,0.5891992998128994,1
2018-05-04,2.95,2.51,0.8508474576271186,0.590082812909972,1
2018-05-07,2.95,2.49,0.8440677966101695,0.590944132860734,1
2018-05-08,2.97,2.51,0.845117845117845,0.5918208092289359,1
2018-05-09,3.0,2.54,0.8466666666666667,0.5927005832402353,1
2018-05-10,2.97,2.54,0.8552188552188552,0.5935555296211934,1
2018-05-11,2.97,2.54,0.8552188552188552,0.5943973959030595,1
2018-05-14,3.0,2.55,0.85,0.5952085070141708,1
2018-05-15,3.08,2.58,0.8376623376623377,0.5959809745466382,1
2018-05-16,3.09,2.58,0.8349514563106797,0.5967190592774415,1
2018-05-17,3.11,2.57,0.8263665594855305,0.5974092255514927,1
2018-05-18,3.06,2.55,0.8333333333333333,0.5981137300559972,1
2018-05-21,3.06,2.58,0.8431372549019608,0.598837842403639,1
2018-05-22,3.06,2.59,0.8464052287581699,0.5995415224263727,1
2018-05-23,3.01,2.53,0.840531561461794,0.6002333382374683,1
2018-05-24,2.98,2.5,0.8389261744966443,0.6009272333672103,1
2018-05-25,2.93,2.48,0.8464163822525597,0.6016692464595842,1
2018-05-29,2.77,2.32,0.8375451263537905,0.6023713637393189,1
2018-05-30,2.84,2.42,0.852112676056338,0.6031299369175184,1
2018-05-31,2.83,2.4,0.8480565371024734,0.6038422662079396,1
2018-06-01,2.89,2.47,0.8546712802768166,0.6045681833541285,1
2018-06-04,2.94,2.52,0.8571428571428572,0.6053701883666599,1
2018-06-05,2.92,2.49,0.8527397260273973,0.6061508123273853,1
2018-06-06,2.97,2.52,0.8484848484848484,0.6069408052801689,1
2018-06-07,2.93,2.5,0.8532423208191126,0.6077350092200526,1
2018-06-08,2.93,2.5,0.8532423208191126,0.6085248271950244,1
2018-06-11,2.96,2.52,0.8513513513513513,0.609337285995288,1
2018-06-12,2.96,2.54,0.8581081081081081,0.610152267643603,1
2018-06-13,2.98,2.59,0.8691275167785234,0.6109769424302464,1
2018-06-14,2.94,2.59,0.8809523809523809,0.6118763471921512,1
2018-06-15,2.93,2.55,0.8703071672354947,0.6127252417813992,1
2018-06-18,2.92,2.56,0.8767123287671234,0.6136144689080694,1
2018-06-19,2.89,2.54,0.8788927335640138,0.6144860268302872,1
2018-06-20,2.93,2.56,0.8737201365187713,0.6153445782144359,1
2018-06-21,2.9,2.56,0.8827586206896553,0.6162225214913181,1
2018-06-22,2.9,2.56,0.8827586206896553,0.6170914870085595,1
2018-06-25,2.87,2.54,0.8850174216027874,0.6180462352275612,1
2018-06-26,2.88,2.53,0.8784722222222222,0.6189675632336494,1
2018-06-27,2.83,2.52,0.8904593639575972,0.6199128655232086,1
2018-06-28,2.84,2.52,0.8873239436619719,0.6208608467438658,1
2018-06-29,2.85,2.52,0.8842105263157894,0.6218507443065645,1
2018-07-02,2.87,2.57,0.8954703832752612,0.6228334658950327,1
2018-07-03,2.83,2.53,0.8939929328621907,0.623803933512582,1
2018-07-05,2.84,2.55,0.897887323943662,0.6247591284503244,1
2018-07-06,2.82,2.53,0.8971631205673759,0.6257248832628877,1
2018-07-09,2.86,2.57,0.8986013986013985,0.6266315751111854,1
2018-07-10,2.87,2.59,0.9024390243902438,0.6275133762368891,1
2018-07-11,2.85,2.58,0.9052631578947369,0.6284219417683647,1
2018-07-12,2.85,2.6,0.9122807017543859,0.6293275842529545,1
2018-07-13,2.83,2.59,0.9151943462897526,0.6302690840566453,1
2018-07-16,2.85,2.59,0.9087719298245613,0.6311991279162943,1
2018-07-17,2.86,2.62,0.9160839160839161,0.6321759498365125,1
2018-07-18,2.88,2.6,0.9027777777777778,0.6330840694946321,1
2018-07-19,2.84,2.6,0.915492957746479,0.6339968164164144,1
2018-07-20,2.89,2.6,0.8996539792387543,0.634904404629669,1
2018-07-23,2.96,2.64,0.891891891891892,0.6357837298147266,1
2018-07-24,2.95,2.63,0.8915254237288135,0.636655388257121,1
2018-07-25,2.94,2.66,0.9047619047619049,0.637509498053906,1
2018-07-26,2.98,2.69,0.9026845637583892,0.6383543408656333,1
2018-07-27,2.96,2.67,0.902027027027027,0.6392110264986346,1
2018-07-30,2.98,2.66,0.8926174496644296,0.6400784531787855,1
2018-07-31,2.96,2.67,0.902027027027027,0.6409950900142964,1
2018-08-01,3.0,2.67,0.89,0.6419105738852642,1
2018-08-02,2.98,2.66,0.8926174496644296,0.6428312926555608,1
2018-08-03,2.95,2.63,0.8915254237288135,0.6437666613838131,1
2018-08-06,2.94,2.64,0.8979591836734695,0.6446569193738017,1
2018-08-07,2.98,2.68,0.8993288590604027,0.6455247594818595,1
2018-08-08,2.96,2.68,0.9054054054054055,0.6464194412604122,1
2018-08-09,2.93,2.64,0.9010238907849829,0.6473014890419823,1
2018-08-10,2.87,2.61,0.9094076655052264,0.6481521515067505,1
2018-08-13,2.88,2.61,0.90625,0.6490242541557573,1
2018-08-14,2.89,2.63,0.9100346020761245,0.649915291101845,1
2018-08-15,2.86,2.61,0.9125874125874126,0.6507723130607779,1
2018-08-16,2.87,2.63,0.916376306620209,0.6516563477253002,1
2018-08-17,2.87,2.61,0.9094076655052264,0.6525470584811472,1
2018-08-20,2.82,2.6,0.921985815602837,0.6534290047958973,1
2018-08-21,2.85,2.61,0.9157894736842105,0.6542799385819753,1
2018-08-22,2.82,2.6,0.921985815602837,0.6551690715035036,1
